t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
241.0,7887.445021903157,0.00745693858327338,0.026979478535487218,92113.52054167973,5e-06,0.22558092762643026,0.0010639957683413587,0.001854959846585418
242.0,7887.444012393516,0.006706478901595734,0.024264292459765472,92113.52501683512,5e-06,0.22558089875445453,0.0009569162413837115,0.0016682783337302824
243.0,7887.443104479691,0.006031545120551431,0.0218223583503461,92113.52904161683,5e-06,0.22558087278811914,0.0008606130494696108,0.0015003843583461273
244.0,7887.442287937639,0.00542453567754878,0.019626178774794906,92113.5326613479,5e-06,0.22558084943501644,0.0007740017620947074,0.001349386984464871
245.0,7887.441553571648,0.004878615066689522,0.01765102048077301,92113.5359167928,5e-06,0.22558082843214913,0.0006961069620149663,0.0012135858374849558
246.0,7887.440893111479,0.00438763567260815,0.015874639445147935,92113.5388446134,5e-06,0.22558080954298831,0.0006260514016153019,0.0010914516598527738
247.0,7887.4402991193465,0.003946068272622581,0.014277031036540933,92113.54147778134,5e-06,0.2255807925548133,0.0005630461497469531,0.0009816090230404433
248.0,7887.4397649061575,0.0035489394441876767,0.012840205086105661,92113.5438459493,5e-06,0.2255807772763161,0.0005063817209285005,0.0008828207572606162
249.0,7887.439284455698,0.003191777238843908,0.011547979914595654,92113.54597578714,5e-06,0.22558076353543294,0.0004554199521724356,0.0007939744375233603
250.0,7887.4388523573225,0.0028705598203107112,0.01038580265041131,92113.54789128019,5e-06,0.2255807511774194,0.0004095869166888491,0.0007140696070424656
251.0,7887.438463744976,0.0025816694222003888,0.009340585906522973,92113.5496139997,5e-06,0.2255807400631063,0.0003683664827651177,0.0006422063239304451
252.0,7887.438114242256,0.002321852675434309,0.008400558882889438,92113.55116334619,5e-06,0.2255807300673285,0.0003312944415691925,0.0005775752923965943
253.0,7887.437799913131,0.0020881836928429097,0.007555135080880058,92113.55255676809,5e-06,0.22558072107751553,0.00029795329010191563,0.0005194486798116691
254.0,7887.437517217789,0.0018780309041741307,0.006794793904975277,92113.5538099574,5e-06,0.22558071299242874,0.00026796756183932385,0.0004671718667099828
255.0,7887.437262972638,0.001689027689314971,0.00611097270874669,92113.55493702694,5e-06,0.22558070572101743,0.00024099956927988743,0.0004201561416206396
256.0,7887.437034314547,0.0015190456547373803,0.005495970764812903,92113.55595066902,5e-06,0.22558069918139606,0.00021674561674947672,0.00037787205341725886
257.0,7887.436828668353,0.0013661704160523819,0.0049428619132109355,92113.5568622993,5e-06,0.2255806932999149,0.00019493255546641026,0.00033984338707770696
258.0,7887.436643718179,0.001228680378862625,0.004445417347010812,92113.55768218408,5e-06,0.2255806880103399,0.00017531473839716764,0.00030564188528921026
259.0,7887.436477381196,0.0011050272050825369,0.003998035055869572,92113.55841955652,5e-06,0.22558068325310218,0.00015767123768757214,0.00027488238932401416
260.0,7887.436327784199,0.0009938183624225263,0.003595676853821688,92113.55908272056,5e-06,0.2255806789746281,0.0001418033611990299,0.0002472184981150563
261.0,7887.436193242499,0.0008938014676326467,0.0032338115790539234,92113.55967914443,5e-06,0.2255806751267355,0.00012753241245378299,0.00022233867354045942
262.0,7887.4360722409865,0.0008038502089175487,0.0029083641739746555,92113.56021554461,5e-06,0.22558067166609222,0.0001146976824851053,0.00019996273853670367
263.0,7887.435963417557,0.0007229520146842818,0.002615671108840603,92113.5606979593,5e-06,0.22558066855374212,0.00010315469186170827,0.0001798388096229557
264.0,7887.435865545664,0.0006501950769682331,0.0023524334402909813,92113.56113182579,5e-06,0.22558066575460597,9.27733394413003e-05,0.00016174006889757044
265.0,7887.4357775222325,0.0005847593851448691,0.002115684337951417,92113.56152203401,5e-06,0.22558066323713585,8.343662170550722e-05,0.00014546253361812667
266.0,7887.435698357508,0.0005259091559929129,0.0019027617428464883,92113.56187297156,5e-06,0.22558066097302473,7.50395544799817e-05,0.0001308231731325654
267.0,7887.435627160215,0.0004729818228835026,0.001711268470519396,92113.56218858947,5e-06,0.2255806589367821,6.748759951005328e-05,0.00011765716987151807
268.0,7887.435563128365,0.0004253812077615602,0.0015390474798057203,92113.56247244292,5e-06,0.22558065710547123,6.069568912781362e-05,0.00010581622083620901
269.0,7887.435505541076,0.00038257141793915746,0.001384159861578822,92113.56272772762,5e-06,0.22558065545847478,5.458735818780811e-05,9.516701938785012e-05
270.0,7887.435453749207,0.0003440698919600317,0.0012448596810176735,92113.5629573212,5e-06,0.2255806539772273,4.909375191500864e-05,8.558952536319197e-05
271.0,7887.435407169401,0.0003094429651604816,0.0011195779347479612,92113.56316380968,5e-06,0.22558065264504484,4.415299321808331e-05,7.697586198021931e-05
272.0,7887.435365277245,0.00027830078312680363,0.0010069041643362025,92113.56334951779,5e-06,0.2255806514469292,3.970945757615148e-05,6.922905052905564e-05
273.0,7887.435327601291,0.0002502928670949829,0.0009055703657253635,92113.56351653546,5e-06,0.22558065036939692,3.571313847125527e-05,6.226190723755794e-05
274.0,7887.4352937170115,0.00022510364023807202,0.0008144347155096105,92113.56366674461,5e-06,0.22558064940030653,3.2119005597694375e-05,5.599593040748061e-05
275.0,7887.435263242804,0.00020244943575641064,0.0007324708311468169,92113.5638018369,5e-06,0.22558064852874415,2.8886581314420846e-05,5.036055615831111e-05
276.0,7887.435235835426,0.0001820750909496884,0.0006587555293533285,92113.56392333393,5e-06,0.2255806477448932,2.5979457870114314e-05,4.529231118151453e-05
277.0,7887.435211186264,0.00016375118195622422,0.0005924587577101967,92113.56403260375,5e-06,0.2255806470399271,2.3364900333695386e-05,4.07341248647324e-05
278.0,7887.435189017636,0.00014727127135254558,0.0005328336700090087,92113.56413087738,5e-06,0.22558064640590436,2.101345519361233e-05,3.663464461506109e-05
279.0,7887.435169080253,0.00013245001607508928,0.0004792098004346129,92113.56421925989,5e-06,0.22558064583569523,1.889868116657948e-05,3.294776519280828e-05
280.0,7887.435151149355,0.0001191203416928714,0.0004309826215716615,92113.56429874763,5e-06,0.22558064532287153,1.6996737394594118e-05,2.963192579424662e-05
281.0,7887.435135023034,0.00010713218170558384,0.0003876090499451848,92113.56437023569,5e-06,0.22558064486165874,1.5286206195952743e-05,2.6649796444175088e-05
282.0,7887.4351205196035,9.635048623796326e-05,0.0003486004052306909,92113.56443452946,5e-06,0.22558064444686063,1.3747815396219587e-05,2.396778264625952e-05
283.0,7887.435107475744,8.665384692780944e-05,0.00031351741916264733,92113.56449235293,5e-06,0.22558064407380626,1.2364241493543267e-05,2.1555683315375487e-05
284.0,7887.435095744645,7.793311819547745e-05,0.0002819652315477815,92113.56454435695,5e-06,0.22558064373829684,1.1119912315448686e-05,1.9386347809820265e-05
285.0,7887.435085194106,7.00899930452311e-05,0.0002535883102747495,92113.56459112754,5e-06,0.22558064343655143,1.0000806678280742e-05,1.7435321653042565e-05
286.0,7887.435075705449,6.303619571569536e-05,0.00022806750495062774,92113.5646331908,5e-06,0.22558064316517584,8.994338190881037e-06,1.5680645700421732e-05
287.0,7887.43506717171,5.669223326088187e-05,0.00020511510317047682,92113.56467102091,5e-06,0.2255806429211109,8.089160287766812e-06,1.4102545587284049e-05
288.0,7887.435059496805,5.098674312493975e-05,0.00018447260773577423,92113.5647050438,5e-06,0.22558064270160863,7.275078568859736e-06,1.2683269434064615e-05
289.0,7887.435052594258,4.585546824893075e-05,0.00016590740926851531,92113.56473564282,5e-06,0.2255806425041958,6.5429195767479465e-06,1.140683289774397e-05
290.0,7887.435046386338,4.124062788161409e-05,0.00014921043270156858,92113.56476316256,5e-06,0.22558064232664926,5.884437980884111e-06,1.0258862657117934e-05
291.0,7887.435040803238,3.709030758245299e-05,0.00013419394215140166,92113.56478791247,5e-06,0.22558064216697257,5.292230007942441e-06,9.226444672251989e-06
292.0,7887.435035781984,3.3357626500114786e-05,0.00012068863799709024,92113.56481017172,5e-06,0.22558064202336475,4.759618958795292e-06,8.29791703982955e-06
293.0,7887.4350312660945,3.0000499902909267e-05,0.00010854269446261824,92113.56483019068,5e-06,0.2255806418942103,4.280617253462337e-06,7.462810921121709e-06
294.0,7887.435027204621,2.6981116799146182e-05,9.761902257261076e-05,92113.56484819521,5e-06,0.22558064177805215,3.849818489803443e-06,6.7117205968025334e-06
295.0,7887.435023551929,2.4265571501905372e-05,8.779485549798249e-05,92113.5648643876,5e-06,0.22558064167358516,3.462381090712339e-06,6.036211816394372e-06
296.0,7887.435020266957,2.182338496302864e-05,7.895971908811685e-05,92113.5648789499,5e-06,0.22558064157963495,3.1139482676302707e-06,5.428702727121553e-06
297.0,7887.435017312633,1.962707616238967e-05,7.101382174189617e-05,92113.56489204643,5e-06,0.22558064149514132,2.8005845216011456e-06,4.8823572543257886e-06
298.0,7887.43501465555,1.765190064360476e-05,6.386721661999857e-05,92113.56490382529,5e-06,0.22558064141914871,2.518742603285838e-06,4.3910200605981995e-06
299.0,7887.435012265885,1.5875659889206727e-05,5.7439729267991356e-05,92113.56491441869,5e-06,0.22558064135080433,2.265260658617143e-06,3.949169126668341e-06
300.0,7887.43501011674,1.4278245177107904e-05,5.1659117015944346e-05,92113.56492394586,5e-06,0.22558064128933875,2.0372896407163845e-06,3.5518022828626633e-06
301.0,7887.435008183743,1.2841397801289577e-05,4.645997986521492e-05,92113.56493251484,5e-06,0.22558064123405505,1.8322503583420399e-06,3.1943775625098456e-06
302.0,7887.435006445337,1.1549086527416289e-05,4.1784336521381594e-05,92113.5649402212,5e-06,0.22558064118433666,1.647856192999188e-06,2.8729070963722117e-06
303.0,7887.435004881909,1.038670440560541e-05,3.75794602231814e-05,92113.56494715188,5e-06,0.2255806411396226,1.4820277501444416e-06,2.583757314827217e-06
304.0,7887.435003475795,9.34115033568703e-06,3.3797822729836185e-05,92113.5649533852,5e-06,0.22558064109940773,1.332890650202899e-06,2.3236692377330926e-06
305.0,7887.435002211265,8.400867113675095e-06,3.0396965599291926e-05,92113.56495899087,5e-06,0.22558064106324216,1.1987704521443342e-06,2.0897679387251485e-06
306.0,7887.435001073782,7.555242497839788e-06,2.7337607057387647e-05,92113.56496403334,5e-06,0.22558064103071016,1.078117993750205e-06,1.8794135566765644e-06
307.0,7887.4350000509685,6.795166432918094e-06,2.458635926215242e-05,92113.56496856747,5e-06,0.22558064100145767,9.696165528406418e-07,1.6903399086860932e-06
308.0,7887.434999130995,6.1116375454617534e-06,2.2111616098854424e-05,92113.56497264572,5e-06,0.22558064097514643,8.720196735272637e-07,1.5203078471297897e-06
309.0,7887.434998303548,5.4968324589880625e-06,1.9885795679550713e-05,92113.56497631378,5e-06,0.22558064095148145,7.84239604060009e-07,1.367371258454742e-06
310.0,7887.4349975594005,4.94381154605371e-06,1.7884151526179343e-05,92113.5649796126,5e-06,0.22558064093019883,7.053004132462116e-07,1.2298038671775398e-06
311.0,7887.434996890197,4.446177921505169e-06,1.6084407884711257e-05,92113.56498257918,5e-06,0.22558064091105964,6.34323608270641e-07,1.1060144083346194e-06
312.0,7887.4349962883425,3.998361531607056e-06,1.4466056115340551e-05,92113.5649852472,5e-06,0.2255806408938466,5.705003863120404e-07,9.946172964196657e-07
313.0,7887.4349957470395,3.595601231980083e-06,1.3010520359031989e-05,92113.5649876468,5e-06,0.22558064087836532,5.130981679635413e-07,8.944281671592248e-07
314.0,7887.434995260237,3.2335972539990774e-06,1.1701326780680034e-05,92113.5649898048,5e-06,0.2255806408644428,4.614672717045576e-07,8.043774263679298e-07
